facility_id,facility_mw,cooling_type,utilization_pct,electricity_rate_usd_kwh,colocation_usd_kw_month,pue_realized,capex_usd_per_mw,stranded_capacity_pct,stranded_capacity_mw,loss_floor_usd_annual,loss_ceiling_usd_annual,loss_mid_usd_annual,p10_loss_usd,p50_loss_usd,p90_loss_usd,recoverable_value_usd,roi_months
DC-0035,31.75,hybrid,63.9,0.1222,185.96,1.241,13258219.74,8.64,2.743,11725575.63,6121059.36,8923317.5,8488144.62,9319145.69,10373977.19,7138654.0,4.0
DC-0036,6.19,air-cooled,64.6,0.1422,192.12,1.611,11276886.8,12.36,0.765,3452255.61,1763661.6,2607958.6,2456858.78,2606714.42,2749716.03,2086366.88,2.7
DC-0037,19.44,liquid-cooled,90.3,0.1013,198.78,1.06,15887279.4,3.51,0.682,3049315.99,1626815.52,2338065.76,1645135.24,2450296.39,3327532.03,1870452.61,9.4
DC-0038,3.43,liquid-cooled,66.7,0.0934,163.02,1.091,18864305.06,4.08,0.14,711858.91,273873.6,492866.26,255973.09,407929.48,542410.52,394293.01,7.8
DC-0039,5.68,air-cooled,91.2,0.0942,203.74,1.54,11338364.11,12.18,0.692,2622979.05,1691856.96,2157418.0,2058549.76,2202743.3,2349392.17,1725934.4,3.0
DC-0040,19.25,air-cooled,82.7,0.0966,209.43,1.513,11541222.82,12.9,2.483,9547236.78,6240176.28,7893706.53,7083966.02,7542830.95,8048989.64,6314965.22,2.7
DC-0041,29.69,hybrid,70.1,0.1319,190.15,1.238,12923713.56,9.96,2.957,12722125.88,6747282.6,9734704.24,8084410.05,8924303.3,9926670.04,7787763.39,3.4
DC-0042,18.86,hybrid,50.2,0.0919,168.43,1.32,14761207.3,8.79,1.658,7200571.92,3351083.28,5275827.6,4603621.85,5104086.61,5663498.0,4220662.08,4.0
DC-0043,14.99,liquid-cooled,71.8,0.114,179.08,1.076,16926566.36,4.58,0.687,3322329.14,1476335.52,2399332.33,1261292.66,1921426.08,2545608.44,1919465.86,7.0
DC-0044,12.92,liquid-cooled,73.2,0.1324,183.29,1.081,15378937.36,4.68,0.605,2826143.38,1330685.4,2078414.39,1087911.98,1679262.81,2222169.94,1662731.51,7.0
DC-0045,5.04,hybrid,86.0,0.1283,188.06,1.253,12359101.48,9.64,0.486,2019195.73,1096765.92,1557980.82,1369518.82,1515580.74,1663123.25,1246384.66,3.6
DC-0046,9.25,air-cooled,91.1,0.1123,184.33,1.53,10522649.64,12.49,1.155,4439243.69,2554813.8,3497028.74,3346978.07,3594515.16,3822146.97,2797622.99,3.0
DC-0047,11.38,air-cooled,63.8,0.1238,188.22,1.508,10445012.43,12.74,1.45,5736956.58,3275028.0,4505992.29,4285701.6,4571578.29,4848298.52,3604793.83,2.8
DC-0048,38.31,air-cooled,81.6,0.1221,182.64,1.598,11569680.79,12.01,4.601,19693451.34,10083919.68,14888685.51,14225189.29,15148557.13,16117010.02,11910948.41,2.9
DC-0049,21.65,air-cooled,81.2,0.1155,187.98,1.611,10656512.38,12.3,2.663,10646917.51,6007088.88,8327003.2,8000836.45,8524931.83,9060524.98,6661602.56,2.9
DC-0050,4.01,hybrid,84.9,0.1158,177.09,1.266,14500756.94,8.2,0.329,1482681.59,699151.32,1090916.46,1041019.21,1153780.62,1260746.3,872733.17,4.1
DC-0051,21.31,hybrid,78.0,0.1647,178.93,1.285,13524494.86,9.03,1.924,9349495.84,4131135.84,6740315.84,5993376.06,6608777.52,7337438.78,5392252.67,3.6
DC-0052,12.08,hybrid,48.7,0.1362,175.36,1.26,13696449.37,8.68,1.049,4769778.39,2207431.68,3488605.04,3365323.28,3675115.64,4050347.85,2790884.03,3.9
DC-0053,9.57,air-cooled,70.1,0.1696,212.76,1.619,10647297.86,12.45,1.191,5682746.95,3040765.92,4361756.44,4136282.4,4412010.17,4648714.28,3489405.15,2.5
DC-0054,26.83,hybrid,58.1,0.1101,205.96,1.179,14804874.22,8.88,2.383,10549753.69,5889632.16,8219692.92,7309776.01,8128973.42,8873301.88,6575754.34,3.7
DC-0055,37.52,air-cooled,69.6,0.1183,192.33,1.625,10798733.8,12.85,4.821,19687609.89,11126675.16,15407142.52,14182428.62,15007156.94,15903591.48,12325714.02,2.7
DC-0056,34.64,air-cooled,83.8,0.0934,203.88,1.516,11910235.95,12.53,4.34,16869953.43,10618070.4,13744011.92,12545677.5,13357420.63,14184953.17,10995209.54,2.8
DC-0057,8.4,hybrid,75.7,0.1038,195.98,1.286,14315659.18,8.07,0.678,2949708.13,1594493.28,2272100.7,2220043.68,2457760.02,2703882.66,1817680.56,4.2
DC-0058,12.84,hybrid,85.8,0.158,186.72,1.244,13817318.1,8.64,1.109,5314672.52,2484869.76,3899771.14,3667838.31,4026982.38,4424822.64,3119816.91,3.7
DC-0059,21.43,liquid-cooled,76.1,0.1096,161.42,1.06,16257786.86,3.47,0.744,3445124.2,1441157.76,2443140.98,1681425.03,2598340.92,3483293.18,1954512.78,9.9
DC-0060,35.89,air-cooled,56.4,0.1584,180.07,1.688,10653702.33,12.58,4.515,21264436.36,9756192.6,15510314.48,14332367.83,15285897.24,16209669.52,12408251.58,2.6
DC-0061,11.21,air-cooled,41.7,0.0951,178.97,1.602,12313749.65,14.18,1.59,6472852.74,3414747.6,4943800.17,4395719.33,4679206.37,5013423.08,3955040.14,2.6
DC-0062,14.17,air-cooled,73.8,0.0989,167.0,1.689,11030010.13,12.77,1.81,7085067.91,3627240.0,5356153.96,4824933.67,5165856.03,5461105.5,4284923.17,3.0
DC-0063,6.79,air-cooled,69.4,0.1132,161.71,1.653,10981765.82,12.98,0.881,3594092.45,1709598.12,2651845.28,2362383.16,2514497.5,2686220.53,2121476.22,2.9
DC-0064,6.32,liquid-cooled,60.3,0.1187,191.39,1.112,17596165.91,3.86,0.244,1236233.33,560389.92,898311.62,531133.33,785030.68,1086062.67,718649.3,7.9
DC-0065,31.5,hybrid,51.6,0.1385,188.87,1.271,14158331.75,8.82,2.778,13024234.65,6296170.32,9660202.48,8684287.87,9648633.04,10631467.6,7728161.98,3.7
DC-0066,48.67,liquid-cooled,63.2,0.129,166.49,1.072,17507851.05,2.79,1.358,6928565.5,2713121.04,4820843.27,3957178.5,6216228.73,8126130.04,3856674.62,11.4
DC-0067,15.52,air-cooled,69.7,0.1117,172.81,1.615,10888384.24,12.44,1.931,7723817.57,4004353.32,5864085.44,5509811.17,5845238.5,6219203.65,4691268.35,3.0
DC-0068,36.7,liquid-cooled,80.0,0.1173,201.42,1.094,17340741.18,2.31,0.848,4221034.95,2049649.92,3135342.44,3127336.96,4712000.45,6367551.71,2508273.95,13.2
DC-0069,21.96,air-cooled,74.3,0.1136,170.83,1.497,11368735.46,12.29,2.699,10839465.37,5532842.04,8186153.7,7771675.07,8307468.45,8822031.41,6548922.96,3.0
DC-0070,9.81,liquid-cooled,91.3,0.1017,186.56,1.047,19254722.15,3.44,0.337,1756306.19,754448.64,1255377.42,792635.62,1211732.11,1637863.51,1004301.94,8.8
DC-0071,21.96,air-cooled,59.6,0.1022,181.15,1.55,10328271.08,12.18,2.675,9851604.89,5814915.0,7833259.94,7766981.38,8292787.07,8782338.88,6266607.95,3.2
DC-0072,56.29,air-cooled,82.6,0.1406,191.6,1.557,11486596.81,12.92,7.273,32512240.69,16722081.6,24617161.14,22130332.56,23513019.48,24864702.25,19693728.91,2.6
DC-0073,15.98,air-cooled,72.6,0.0834,171.16,1.625,12085553.29,12.38,1.978,7660551.71,4062653.76,5861602.74,5269490.93,5614104.27,6010515.9,4689282.19,3.1
DC-0074,57.5,liquid-cooled,80.3,0.1523,185.35,1.092,18257899.86,2.06,1.184,6528813.62,2633452.8,4581133.21,5057463.65,7436750.32,10047258.06,3664906.57,14.1
DC-0075,2.02,air-cooled,66.8,0.1131,186.53,1.492,10866011.4,12.06,0.244,949862.02,546159.84,748010.93,740257.28,786037.24,837501.31,598408.74,3.0
DC-0076,31.74,air-cooled,84.9,0.1045,187.45,1.636,11462105.33,12.95,4.11,16623970.34,9245034.0,12934502.17,11428986.87,12085688.46,12899424.25,10347601.74,2.8
DC-0077,17.63,liquid-cooled,75.5,0.1348,185.19,1.092,17796927.94,4.13,0.728,3817893.27,1617819.84,2717856.56,1525019.14,2340025.64,3078640.31,2174285.25,7.3
DC-0078,12.95,air-cooled,63.8,0.1497,189.17,1.493,11906555.35,12.66,1.639,7545594.74,3720595.56,5633095.15,5148134.54,5506337.86,5819469.17,4506476.12,2.6
DC-0079,17.7,air-cooled,71.9,0.1424,216.88,1.566,10204494.69,12.44,2.202,9294931.5,5730837.12,7512884.31,7348851.94,7779509.85,8220074.62,6010307.45,2.7
DC-0080,3.35,air-cooled,69.1,0.13,222.42,1.572,11854336.97,12.23,0.41,1814041.19,1094306.4,1454173.8,1369981.78,1443793.16,1529815.86,1163339.04,2.6
DC-0081,13.79,air-cooled,77.9,0.1417,174.41,1.621,10421785.75,12.6,1.738,7522214.72,3637494.96,5579854.84,5260474.93,5612365.77,5972385.31,4463883.87,2.8
DC-0082,21.88,liquid-cooled,57.8,0.0857,149.23,1.084,19399859.43,4.7,1.028,5268369.81,1840901.28,3554635.54,1631223.38,2462999.22,3389504.65,2843708.43,6.9
DC-0083,53.64,hybrid,71.6,0.1096,192.93,1.311,14065599.64,9.43,5.058,22176167.05,11710079.28,16943123.16,14199833.48,15713479.64,17333108.33,13554498.53,3.6
DC-0084,10.86,air-cooled,76.7,0.1018,186.79,1.516,10778171.58,12.64,1.373,5144726.46,3077552.04,4111139.25,3875647.16,4136995.63,4422206.18,3288911.4,3.0
DC-0085,8.61,liquid-cooled,72.4,0.1445,199.92,1.099,17423932.02,2.83,0.244,1284201.54,585365.76,934783.65,772305.76,1191034.97,1562500.37,747826.92,10.4
DC-0086,11.01,air-cooled,88.2,0.1123,188.27,1.558,10889344.49,12.08,1.33,5256869.84,3004789.2,4130829.52,4043854.71,4295184.91,4559563.08,3304663.62,3.0
DC-0087,34.2,air-cooled,81.3,0.1369,184.88,1.527,11267106.03,12.88,4.405,19095881.72,9772756.8,14434319.26,13250589.55,13994135.08,14821013.97,11547455.41,2.7
DC-0088,21.39,air-cooled,71.9,0.1307,200.93,1.582,10963894.87,12.44,2.661,11303139.03,6416096.76,8859617.9,8406472.61,8931038.48,9437215.84,7087694.32,2.7
DC-0089,10.76,air-cooled,74.6,0.1028,203.03,1.689,10855640.2,12.25,1.318,5184163.58,3211122.48,4197643.03,4002510.75,4225274.54,4488613.74,3358114.42,2.9
DC-0090,24.79,air-cooled,75.5,0.1083,163.2,1.559,10826922.74,12.59,3.121,12125143.06,6112166.4,9118654.73,8539720.42,9086202.4,9746951.66,7294923.78,3.1
DC-0091,17.77,liquid-cooled,76.8,0.1459,171.75,1.081,17988371.3,2.95,0.524,2818608.92,1079964.0,1949286.46,1473018.89,2280527.03,3073343.42,1559429.17,10.3
DC-0092,35.69,hybrid,50.1,0.1045,182.42,1.244,13565983.32,8.35,2.98,12377267.41,6523339.2,9450303.3,9147977.33,10198793.54,11195562.65,7560242.64,4.2
DC-0093,9.38,air-cooled,68.4,0.1225,185.48,1.515,11145951.13,12.92,1.212,4972380.93,2697621.12,3835001.02,3508865.96,3728512.45,3947417.3,3068000.82,2.8
DC-0094,12.65,hybrid,54.2,0.1043,180.61,1.21,13917807.12,9.47,1.198,5029664.4,2596449.36,3813056.88,3237264.05,3574969.15,3912882.28,3050445.5,3.7
DC-0095,12.02,hybrid,87.3,0.1137,190.51,1.215,13869866.59,8.12,0.976,4189330.82,2231253.12,3210291.97,3197394.65,3508127.51,3857650.59,2568233.58,4.2
DC-0096,5.1,liquid-cooled,71.3,0.1191,198.94,1.103,17272120.46,3.25,0.166,828178.41,396288.48,612233.45,439567.97,655882.74,881214.41,489786.76,9.4
DC-0097,20.84,liquid-cooled,69.7,0.1043,209.84,1.105,17867079.93,3.03,0.631,3142421.23,1588908.48,2365664.86,1773232.33,2741382.01,3593994.58,1892531.89,9.9
DC-0098,20.26,air-cooled,82.8,0.1008,192.68,1.575,12059886.91,12.11,2.453,9985457.69,5671728.48,7828593.08,7306617.26,7769789.39,8222615.41,6262874.46,2.9
DC-0099,16.51,hybrid,77.1,0.1257,171.21,1.288,13033955.79,8.96,1.479,6381430.41,3038635.08,4710032.74,4316959.07,4788591.96,5296791.4,3768026.19,3.9
DC-0100,13.63,hybrid,58.5,0.1031,181.79,1.259,12734588.11,8.29,1.13,4482689.52,2465072.4,3473880.96,3481563.54,3842265.49,4267581.46,2779104.77,4.4
DC-0101,5.3,hybrid,71.1,0.1038,182.87,1.286,12065704.12,9.03,0.479,1844443.12,1051136.76,1447789.94,1374963.17,1512695.81,1661142.49,1158231.95,4.1
DC-0102,11.75,air-cooled,68.0,0.1012,191.72,1.442,11317101.18,12.5,1.469,5572301.4,3379640.16,4475970.78,4226531.12,4514194.94,4807998.85,3580776.62,3.0
DC-0103,12.5,air-cooled,51.1,0.1184,189.82,1.594,10472333.2,12.75,1.594,6344847.58,3630876.96,4987862.27,4663807.41,4950161.76,5253754.37,3990289.82,2.8
DC-0104,8.66,air-cooled,63.7,0.1389,214.76,1.63,11593862.03,12.54,1.086,4951876.67,2798752.32,3875314.5,3548577.16,3754771.52,3979910.25,3100251.6,2.5
DC-0105,14.45,air-cooled,69.8,0.1501,177.08,1.578,11204753.86,12.81,1.851,8449481.14,3933300.96,6191391.05,5625257.96,5991534.92,6362258.99,4953112.84,2.6
DC-0106,22.72,air-cooled,70.6,0.1055,189.77,1.588,11535501.57,12.58,2.858,11520719.85,6508351.92,9014535.88,8237831.29,8777825.8,9332549.56,7211628.7,2.8
DC-0107,74.36,hybrid,54.2,0.163,219.32,1.196,13651778.02,8.91,6.625,31412258.15,17435940.0,24424099.08,22584088.48,24771696.73,27062191.26,19539279.26,3.4
DC-0108,18.91,air-cooled,85.8,0.0999,175.22,1.714,10051792.23,12.44,2.352,8781648.63,4945409.28,6863528.96,6562883.37,7018887.23,7430457.26,5490823.17,3.1
DC-0109,20.21,hybrid,70.8,0.1417,186.18,1.253,13486488.91,9.09,1.837,8362641.99,4104151.92,6233396.96,5561095.15,6194410.4,6794593.55,4986717.57,3.6
DC-0110,15.49,air-cooled,72.5,0.1056,169.83,1.571,10522850.37,12.9,1.998,7575764.99,4071844.08,5823804.54,5379946.78,5731071.8,6145614.56,4659043.63,3.0
DC-0111,3.54,liquid-cooled,76.8,0.1026,185.23,1.068,16783383.68,2.45,0.087,407989.42,193380.12,300684.77,293036.22,435136.49,573231.42,240547.82,13.2
DC-0112,16.1,air-cooled,62.5,0.1051,172.3,1.566,10903667.03,12.62,2.032,7853305.57,4201363.2,6027334.38,5616758.83,6005118.55,6391404.45,4821867.5,3.0
DC-0113,17.26,air-cooled,77.5,0.119,199.7,1.591,11183421.67,12.97,2.239,9277804.43,5365539.6,7321672.02,6623752.48,7025446.76,7450581.6,5857337.62,2.7
DC-0114,117.99,hybrid,67.6,0.1316,186.21,1.249,13863454.56,8.05,9.498,42936989.93,21223470.96,32080230.44,31907788.15,35352440.95,38742436.72,25664184.35,4.1
DC-0115,14.1,hybrid,61.2,0.1334,169.97,1.242,13040895.64,9.25,1.304,5671563.01,2659690.56,4165626.78,3719941.09,4111709.9,4559800.43,3332501.42,3.8
DC-0116,20.93,liquid-cooled,78.9,0.1011,196.61,1.063,17639336.93,2.24,0.469,2279942.06,1106521.08,1693231.57,1688538.3,2575715.65,3514071.79,1354585.26,13.9
DC-0117,15.99,air-cooled,89.9,0.1002,186.69,1.568,10973058.22,12.73,2.036,7766876.85,4561210.08,6164043.46,5686085.69,6060188.26,6430493.11,4931234.77,2.9
DC-0118,6.46,air-cooled,80.7,0.1017,198.29,1.564,11209871.62,12.13,0.784,3045399.13,1865512.32,2455455.72,2345707.96,2509570.51,2658568.91,1964364.58,3.0
DC-0119,41.03,liquid-cooled,83.1,0.1178,166.79,1.127,16472730.24,2.62,1.075,5185358.8,2151591.0,3668474.9,3353681.9,5066643.48,6763478.26,2934779.92,12.6
DC-0120,30.01,air-cooled,65.8,0.1158,189.53,1.633,11457576.74,12.94,3.883,16318914.91,8831339.88,12575127.4,11123038.53,11805750.21,12528747.61,10060101.92,2.7
DC-0121,30.96,hybrid,52.8,0.101,195.6,1.259,13588361.13,9.4,2.91,12028626.56,6830352.0,9429489.28,8041958.75,9021602.58,9957607.32,7543591.42,3.7
DC-0122,7.94,air-cooled,89.9,0.1254,177.65,1.565,9126857.44,12.27,0.974,3649918.22,2076373.2,2863145.71,2955901.11,3114718.56,3299233.55,2290516.57,3.1
DC-0123,50.51,air-cooled,96.7,0.1653,165.11,1.524,10019580.15,12.68,6.405,28395722.29,12690354.6,20543038.44,20011985.41,21202024.72,22540856.59,16434430.75,2.8
DC-0124,5.36,air-cooled,90.5,0.1099,183.38,1.667,11186169.8,12.12,0.65,2658939.67,1430364.0,2044651.84,1947175.02,2069182.0,2196984.51,1635721.47,2.9
DC-0125,26.3,air-cooled,68.0,0.1113,202.42,1.572,10879055.6,12.62,3.319,13110876.59,8061983.76,10586430.18,9935122.45,10539168.81,11230044.05,8469144.14,2.8
DC-0126,94.86,hybrid,58.1,0.1312,200.89,1.276,14335858.14,9.01,8.547,39762937.71,20604081.96,30183509.84,26240182.36,28989023.82,32010711.59,24146807.87,3.5
DC-0127,7.45,liquid-cooled,59.2,0.1088,177.57,1.093,16658529.81,4.88,0.364,1726677.93,775625.76,1251151.84,605304.97,932725.27,1236900.81,1000921.47,6.7
DC-0128,10.45,air-cooled,51.8,0.1334,164.75,1.538,11462470.06,12.27,1.282,5569646.13,2534514.0,4052080.06,3829001.59,4105473.39,4362598.95,3241664.05,2.9
DC-0129,17.81,hybrid,70.7,0.1056,177.53,1.27,13507420.19,8.03,1.43,5972352.17,3046414.8,4509383.48,4541252.52,5066549.5,5547675.06,3607506.78,4.4
DC-0130,10.99,air-cooled,91.3,0.1566,176.97,1.54,10868005.39,12.01,1.32,5976575.81,2803204.8,4389890.3,4378899.06,4621334.8,4907256.38,3511912.24,2.8
DC-0131,4.76,air-cooled,70.3,0.1269,190.7,1.537,10561729.33,12.7,0.605,2453666.91,1384482.0,1919074.46,1817454.19,1926402.22,2036370.28,1535259.57,2.8
DC-0132,17.37,air-cooled,75.6,0.1076,182.42,1.555,11301407.21,12.25,2.128,8463331.59,4658277.12,6560804.36,6204267.45,6621769.0,7065987.38,5248643.49,3.0
DC-0133,7.03,liquid-cooled,88.5,0.1082,172.7,1.061,17702379.88,3.7,0.26,1284273.11,538824.0,911548.56,561627.66,850492.48,1118363.8,729238.85,8.7
DC-0134,24.02,hybrid,67.2,0.1097,200.56,1.259,14045415.83,8.59,2.063,8934991.77,4965063.36,6950027.56,6433985.84,7164375.47,7818934.29,5560022.05,3.9
DC-0135,7.88,hybrid,96.4,0.1475,186.11,1.223,13731920.99,8.07,0.636,2945809.73,1420391.52,2183100.62,2181460.71,2405592.47,2668622.85,1746480.5,4.1
DC-0136,56.82,hybrid,95.9,0.0946,190.53,1.345,12941286.64,9.8,5.568,22218756.53,12730452.48,17474604.51,14685857.27,16145799.39,17685027.43,13979683.61,3.7
DC-0137,8.79,hybrid,70.4,0.1066,158.13,1.266,13267171.27,9.57,0.841,3473726.4,1595847.96,2534787.18,2166611.9,2404310.15,2632826.31,2027829.74,3.9
DC-0138,12.71,liquid-cooled,65.1,0.1088,147.64,1.078,17197401.16,2.63,0.334,1619590.57,591741.12,1105665.84,976766.75,1531366.32,2015655.79,884532.67,12.9
DC-0139,31.53,hybrid,80.4,0.1197,162.44,1.211,13710099.47,9.21,2.904,12535143.48,5660709.12,9097926.3,8048937.97,8904787.11,9842941.78,7278341.04,3.9
DC-0140,6.14,liquid-cooled,67.8,0.1146,176.79,1.065,18187277.79,4.44,0.273,1395239.26,579164.04,987201.65,513022.78,762189.73,1020109.73,789761.32,7.0
DC-0141,19.73,air-cooled,58.1,0.0902,192.65,1.631,11015550.89,12.97,2.559,9562056.92,5915896.2,7738976.56,6964475.59,7414486.94,7875831.0,6191181.25,2.9
DC-0142,46.79,air-cooled,87.4,0.112,148.87,1.586,10755082.45,13.0,6.083,24003972.05,10866914.52,17435443.28,15825311.03,16886458.88,17929086.01,13948354.62,3.0
DC-0143,4.54,air-cooled,86.6,0.118,207.89,1.632,11767803.53,12.03,0.546,2348910.13,1362095.28,1855502.7,1755004.94,1863145.74,1983786.26,1484402.16,2.8
DC-0144,19.06,air-cooled,73.9,0.1074,186.56,1.598,11018522.03,12.29,2.342,9255577.45,5243082.24,7249329.84,6906076.37,7338686.21,7821501.55,5799463.87,3.0
DC-0145,20.24,hybrid,56.8,0.1337,204.4,1.263,13464481.68,9.42,1.907,8526860.25,4677489.6,6602174.92,5705138.24,6356326.79,6936795.33,5281739.94,3.4
DC-0146,30.74,air-cooled,57.2,0.1384,170.71,1.617,11300384.15,12.54,3.855,17238100.52,7897044.6,12567572.56,11558227.36,12322056.28,13087102.22,10054058.05,2.8
DC-0147,6.11,hybrid,73.3,0.1184,191.56,1.181,13324569.28,9.79,0.598,2503185.96,1374634.56,1938910.26,1645890.15,1811372.66,1998147.61,1551128.21,3.5
